Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-08-25,ABEO,10.0,7.24,72.4,0.0,MANUAL BUY MOO - Filled,,
2025-08-25,ATYR,8.0,5.38,43.04,0.0,MANUAL BUY MOO - Filled,,
2025-08-25,IINN,20.0,1.17,23.4,0.0,MANUAL BUY MOO - Filled,,
2025-08-25,AXGN,3.0,14.25,42.75,0.0,MANUAL BUY MOO - Filled,,
2025-08-25,ABEO,,,72.4,0.0,MANUAL SELL LIMIT - ,10.0,7.24
2025-08-25,ABEO,10.0,7.24,72.4,0.0,MANUAL BUY MOO - Filled,,
2025-08-25,ATYR,2.0,5.38,10.76,0.0,MANUAL BUY MOO - Filled,,
2025-08-25,ATYR,,,10.76,0.0,MANUAL SELL LIMIT - ,2.0,5.38
